curso,id,cat,metodo,provider,janela,serie,prova,llm_pick,gold,motor_pick,causa,s1,s2,margem,secao,titulo,md_chars
MF,exerciciosformalizacaoalgoritmosrecursao3,listas,llm,topic,3,True,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,margem baixa (<0.55),1.0,0.66,0.34,Especificações Indutivas e Recursivas,ExerciciosFormalizacaoAlgoritmosRecursao3,1230
MF,formalizacaoalgoritmos-recursao2,material-de-aula,llm,topic,3,True,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),1.03,1.0,0.03,Especificações Indutivas e Recursivas,FormalizacaoAlgoritmos_Recursao2,2773
MF,conjuntosindutivos,material-de-aula,llm,topic,3,False,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,margem baixa (<0.55),1.54,1.12,0.27,Especificações Indutivas e Recursivas,ConjuntosIndutivos,13752
MF,logicaproposicional-sintaxe,material-de-aula,llm,topic,9,False,False,2edd762f-2dc8-4437-90c7-c207b796434a,2edd762f-2dc8-4437-90c7-c207b796434a,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),0.7,0.65,0.07,Revisão - Lógica e Especificação,logicaProposicional_sintaxe,5424
MF,revisao,material-de-aula,llm,topic,9,False,False,2edd762f-2dc8-4437-90c7-c207b796434a,2edd762f-2dc8-4437-90c7-c207b796434a,c9f5f7cf-3477-4531-be7a-f7b68727009c,margem baixa (<0.55),1.54,1.03,0.33,Revisão - Lógica e Especificação,revisao,4705
MF,introducao,material-de-aula,llm,labels,2,False,False,1e73625a-de3e-4c8a-87c4-d301a3138c0b,1e73625a-de3e-4c8a-87c4-d301a3138c0b,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,sem-token (material nao casa nenhum bloco),0.0,0.0,0.0,Introdução a Métodos Formais,introducao,8739
MF,provasindutivas-especificacoesrecursivas,material-de-aula,llm,topic,2,False,False,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),2.03,0.98,0.52,Provas por Indução,ProvasIndutivas_EspecificaçõesRecursivas,7110
MF,provasindutivas-especificacoesrecursivas-listas,material-de-aula,llm,topic,2,False,False,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),1.58,1.37,0.13,Provas por Indução,ProvasIndutivas_EspecificaçõesRecursivas_Listas,2544
MF,exercicioscorrecaoinducaomatematica,listas,llm,topic,2,False,False,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),1.58,0.98,0.38,Provas por Indução,ExerciciosCorrecaoInducaoMatematica,1972
MF,exerciciosformalizacaoalgoritmosrecursao2,listas,llm,topic,3,True,False,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,margem baixa (<0.55),1.0,0.66,0.34,Especificações Indutivas e Recursivas,ExerciciosFormalizacaoAlgoritmosRecursao2,967
MF,exerciciosisabelle2,listas,llm,topic,2,False,False,5599d015-10e0-4f6e-ad17-c526b903dc09,5599d015-10e0-4f6e-ad17-c526b903dc09,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,margem baixa (<0.55),2.03,1.76,0.13,Provas por Indução,ExerciciosIsabelle2,2981
