curso,entry_id,unidade,gold_primario,gold_extras,gold_fonte,pred_produto,aceito_produto,primario_produto,pred_sem_llm,aceito_sem_llm,primario_sem_llm,pred_so_codigo,aceito_so_codigo,primario_so_codigo,tipo_erro_cru,cru_conf_1a,cru_slug_1a,cru_reasons_1a,pred_sem_llm_escopo_antigo,herdado_no_escopo_antigo
MF,archive-of-formal-proofs-355fb8,unidade-01-metodos-formais,provadores-de-teoremas,,conteudo,abordagens-para-verificacao-formal,0,0,abordagens-para-verificacao-formal,0,0,,0,0,trocado,0.204,sistemas-formais,winner_score=11.94,abordagens-para-verificacao-formal,1
MF,exerciciosformalizacaoalgoritmosrecursao3,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.862,especificacao-de-funcoes-recursivas,winner_score=9.09,especificacao-de-funcoes-recursivas,0
MF,formalizacaoalgoritmos-recursao2,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-conjuntos-indutivos,1,0,especificacao-de-funcoes-recursivas,1,1,ok,0.817,especificacao-de-conjuntos-indutivos,winner_score=8.65,especificacao-de-conjuntos-indutivos,0
MF,exerciciosconjuntosindutivos,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos,,conteudo,especificacao-de-conjuntos-indutivos,1,1,especificacao-de-conjuntos-indutivos,1,1,especificacao-de-conjuntos-indutivos,1,1,ok,0.873,especificacao-de-conjuntos-indutivos,winner_score=1.25,especificacao-de-conjuntos-indutivos,0
MF,conjuntosindutivos,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos,,conteudo,especificacao-de-conjuntos-indutivos,1,1,especificacao-de-conjuntos-indutivos,1,1,especificacao-de-conjuntos-indutivos,1,1,ok,0.776,exemplos-de-aplicacoes,winner_score=7.06,especificacao-de-conjuntos-indutivos,0
MF,logicapredicados-semantica,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem,,conteudo,fundamentos-de-logica-de-primeira-ordem,1,1,especificacao-de-funcoes-recursivas,0,0,especificacao-de-funcoes-recursivas,0,0,trocado,0.895,especificacao-de-funcoes-recursivas,winner_score=1.20,especificacao-de-funcoes-recursivas,0
MF,logicapredicados-sintaxe,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem,,conteudo,fundamentos-de-logica-de-primeira-ordem,1,1,fundamentos-de-logica-de-primeira-ordem,1,1,fundamentos-de-logica-de-primeira-ordem,1,1,ok,0.213,fundamentos-de-logica-de-primeira-ordem,winner_score=1.35,fundamentos-de-logica-de-primeira-ordem,0
MF,logicaproposicional-sintaxe,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,conteudo,linguagens-de-especificacao-e-logicas,1,1,especificacao-de-funcoes-recursivas,0,0,especificacao-de-conjuntos-indutivos,0,0,trocado,0.862,especificacao-de-funcoes-recursivas,winner_score=0.12,especificacao-de-funcoes-recursivas,0
MF,revisao,unidade-01-metodos-formais,sistemas-formais,,conteudo,sistemas-formais,1,1,especificacao-de-conjuntos-indutivos,0,0,especificacao-de-conjuntos-indutivos,0,0,trocado,0.837,especificacao-de-conjuntos-indutivos,winner_score=8.29,especificacao-de-conjuntos-indutivos,0
MF,introducao,unidade-01-metodos-formais,abordagens-para-verificacao-formal,exemplos-de-aplicacoes,conteudo,exemplos-de-aplicacoes,1,0,exemplos-de-aplicacoes,1,0,abordagens-para-verificacao-formal,1,1,ok,0.269,exemplos-de-aplicacoes,winner_score=7.06,exemplos-de-aplicacoes,0
MF,provasindutivas-especificacoesrecursivas,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.853,especificacao-de-funcoes-recursivas,winner_score=9.01,especificacao-de-funcoes-recursivas,0
MF,provasindutivas-especificacoesrecursivas-arvores,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.267,especificacao-de-funcoes-recursivas,winner_score=1.45,especificacao-de-funcoes-recursivas,0
MF,provasindutivas-especificacoesrecursivas-listas,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,especificacao-de-funcoes-recursivas,1,1,ok,0.196,especificacao-de-funcoes-recursivas,winner_score=1.32,especificacao-de-funcoes-recursivas,0
