curso,entry_id,gold,cru,produto,produto_acerta,na_fila_cru,conflito,bloco_cru,metodo_bloco,categoria
MF,t1-2026-1,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,0,1,1,c9f5f7cf-3477-4531-be7a-f7b68727009c,due-contain,trabalhos
MF,t1-2026-1-thy,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,0,1,0,c9f5f7cf-3477-4531-be7a-f7b68727009c,due-contain,codigo-professor
MF,aws-encryption-sdk,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,unidade-01-metodos-formais,0,0,0,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,ref-generica,bibliografia
MF,eth2,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,unidade-01-metodos-formais,0,1,1,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,ref-generica,bibliografia
MF,t2-2026-1,unidade-02-verificacao-de-programas,unidade-03-verificacao-de-modelos,unidade-03-verificacao-de-modelos,0,1,1,37d49c0d-3cc1-4a8b-add6-d82ea868ec52,due-straddle,trabalhos
SO,0704-laminas-comunicacao-e-sincronizacao,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-04-deadlock,0,1,1,1945c228-4ca2-4a76-8d63-47c804459ecd,janela-1,material-de-aula
SO,0904-laminas-semaforos,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-04-deadlock,0,1,1,1945c228-4ca2-4a76-8d63-47c804459ecd,janela-1,outros
SO,3103-threads,unidade-03-programacao-concorrente,unidade-02-gerencia-do-processador,unidade-02-gerencia-do-processador,0,1,1,e4f7e22a-e091-46f8-b70e-a65f387dbf84,janela-1,material-de-aula
SO,biblioteca-em-c-pthread,unidade-03-programacao-concorrente,unidade-02-gerencia-do-processador,unidade-02-gerencia-do-processador,0,1,1,e4f7e22a-e091-46f8-b70e-a65f387dbf84,janela-1,bibliografia
SO,laminas-cs-4244-internet-programming-sockets-programming,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-03-programacao-concorrente,1,1,0,1945c228-4ca2-4a76-8d63-47c804459ecd,disamb,bibliografia
SO,laminas-sockets-material-alternativo-em-pt,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-03-programacao-concorrente,1,1,1,1945c228-4ca2-4a76-8d63-47c804459ecd,disamb,bibliografia
