curso,entry_id,gold,label_do_gold,tokens,em_bundle,em_frontmatter,em_corpo,em_membros,evidencia_fora_do_bundle,classe_do_diagnostico,juizo_disse_fora
MF,archive-of-formal-proofs-355fb8,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,D,0
MF,revisao,sistemas-formais,Sistemas Formais,formais;sistemas,token,nada,token,nada,0,C,0
MF,exerciciosespecificacao-respostas,linguagens-de-especificacao-e-logicas,Linguagens de Especificação e Lógicas,especificacao;linguagens;logicas,token,nada,token,nada,0,C,0
MF,exerciciosespecificacao,linguagens-de-especificacao-e-logicas,Linguagens de Especificação e Lógicas,especificacao;linguagens;logicas,token,nada,token,nada,0,C,0
MF,arvores,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,A,1
MF,exemplos,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,C,1
MF,intro,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,D,1
MF,listas,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,A,1
MF,provas,provadores-de-teoremas,Provadores de Teoremas,provadores;teoremas,nada,nada,nada,nada,0,C,0
MF,hoare,logica-de-hoare,Lógica de Hoare,hoare;logica,token,nada,nada,token,0,C,0
MF,terminacao,correcao-parcial-e-total,Correção Parcial e Total,correcao;parcial;total,nada,nada,nada,nada,0,C,0
MF,tiposindutivos,softwares-de-suporte-a-verificacao-formal-de-programas,Softwares de Suporte à Verificação Formal de Programas,formal;programas;softwares;suporte;verificacao,nada,nada,nada,nada,0,A,1
SO,1903-estruturas-de-controle,conceitos-basicos,Conceitos básicos,basicos;conceitos,nada,nada,nada,nada,0,A,0
SO,3103-threads,conceitos-basicos,Conceitos básicos,basicos;conceitos,nada,nada,nada,nada,0,D,0
SO,exercicios,algoritmos-de-escalonamento,Algoritmos de escalonamento,algoritmos;escalonamento,nada,nada,nada,nada,0,B,0
SO,exemplo-threads-em-c-exemplo1,conceitos-basicos,Conceitos básicos,basicos;conceitos,nada,nada,nada,nada,0,D,0
SO,exemplo-threads-em-c-exemplo2,conceitos-basicos,Conceitos básicos,basicos;conceitos,nada,nada,nada,nada,0,D,0
SO,exemplo-threads-em-c-exemplo3,conceitos-basicos,Conceitos básicos,basicos;conceitos,nada,nada,nada,nada,0,D,0
IA,algoritmo-de-classificacao-k-nn,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,exemplo-com-k-nn,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,exemplo-de-programa-com-k-nn-em-java,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,C,0
IA,artigo-usando-k-nn-em-texto,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,token,nada,1,D,0
IA,k-nn-para-classificacao-exemplo-cardio,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,k-nn-para-regressao-exemplo-imc,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,introducao-a-redes-neurais,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
IA,rede-perceptron,modelos-preditivos,Modelos Preditivos,modelos;preditivos,nada,nada,nada,nada,0,B,0
