motivo                | itens | erra | certo c/gold | sem gold | erro bloco | erro unidade | erro sub
conflito              |    57 |   28 |           22 |        7 |          3 |            5 |       21
flag:disamb           |    53 |   21 |           28 |        4 |          8 |            3 |       15
?                     |    11 |    5 |            6 |        0 |          0 |            0 |        5
sub-empate            |    10 |    8 |            1 |        1 |          0 |            0 |        8
sem-bloco             |    10 |    4 |            2 |        4 |          2 |            0 |        3
sub-ambigua           |     6 |    3 |            2 |        1 |          1 |            0 |        2
flag:disamb-curto     |     4 |    4 |            0 |        0 |          0 |            0 |        4
flag:due-straddle     |     1 |    1 |            0 |        0 |          1 |            0 |        0

itens '?' (sem motivo): [('CG', 'intro', 'mudou', 'janela-1', False, ['sem-sinal (winner_score=0)'], 'mudou'), ('CG', 'modelagem3d', 'mudou', 'titulo-topico', False, ['winner_score=5.78'], 'mudou'), ('CG', 'opengl3dcpp-vdi', 'mudou', 'irmao-card', False, ['winner_score=4.80'], 'mudou'), ('CG', 'exercicios', 'mudou', 'janela-1', True, ['sem-sinal (winner_score=0)'], 'mudou'), ('CG', 'opengl-cpp', 'mudou', 'janela-1', True, ['winner_score=0.91'], 'mudou'), ('CG', 'opengl-py', 'mudou', 'janela-1', True, ['winner_score=0.39'], 'mudou'), ('CG', 'fundamentosmatematicos', 'mudou', 'titulo-topico', False, ['winner_score=2.06'], 'mudou'), ('CG', 'instanciamento', 'mudou', 'janela-1', False, ['winner_score=0.91'], 'mudou'), ('CG', 'mapeamento', 'mudou', 'janela-1', False, ['winner_score=4.84'], 'mudou'), ('CG', 'curvas', 'mudou', 'janela-1', False, ['winner_score=4.84'], 'mudou'), ('CG', 'exercicios-sobre-curvas', 'mudou', 'janela-1', False, ['winner_score=4.92'], 'mudou')]
