curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
ES2,revisaoarquiteturapadroes,0,0,0,0,,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,
ES2,revisao-p1,1,1,,,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,microsservicos2,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,microsservicos3,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro1-introducao,1,1,0,0,bloco-02,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro2-nameserver,0,1,0,0,bloco-02,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,servicos,0,1,1,1,,unidade-01-arquitetura-de-software,orientada-a-servicos
ES2,web,0,1,1,1,,unidade-01-arquitetura-de-software,cliente-servidor
ES2,microsservicos5,0,1,0,0,bloco-01,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,microsservicos6,0,0,0,0,bloco-01,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,microsservicos7,0,1,0,0,bloco-01,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro1,1,1,0,0,bloco-02,unidade-01-arquitetura-de-software,
ES2,roteiro2,0,1,0,0,bloco-02,unidade-01-arquitetura-de-software,
ES2,roteiro3,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro4-circuitbreaker,0,1,0,0,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro5,0,1,0,0,bloco-01,unidade-01-arquitetura-de-software,
ES2,roteiro5-conteiners,0,1,0,0,bloco-01,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro6,,,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro6-conteiners-composicao,,,0,0,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro7,0,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro7-filas,0,1,0,0,bloco-04,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro7-history-service,0,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
ES2,roteiro8-autenticacao-autorizacao,0,1,0,0,bloco-02,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,plano,1,1,,,bloco-01,unidade-01-arquitetura-de-software,
ES2,microsservicos,1,1,0,0,bloco-01,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,azure,0,1,,,bloco-01,unidade-01-arquitetura-de-software,orientada-a-servicos
ES2,microsservicos4,1,1,0,0,bloco-07,unidade-01-arquitetura-de-software,estilos-e-padroes-arquiteturais
ES2,roteiro3-gateway,1,1,0,0,bloco-04,unidade-01-arquitetura-de-software,cliente-servidor
ES2,devops,1,1,0,0,bloco-12,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,integracao-continua-ci
ES2,kubernetes,,,0,0,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,estudo-de-caso-integracao-e-implantacao-de-microsservicos
ES2,roteiro4,0,1,0,0,bloco-04,unidade-01-arquitetura-de-software,
