curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
FR,01-protocolos-de-rede,,,0,0,bloco-01,unidade-01-introducao-a-redes-de-computadores,modelos-osi-e-tcpip
FR,02-modelos-de-referencia,,,1,1,bloco-02,unidade-01-introducao-a-redes-de-computadores,modelos-osi-e-tcpip
FR,03-tipos-de-redes,,,1,1,bloco-02,unidade-01-introducao-a-redes-de-computadores,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia
FR,unidade1-exercicios,,,0,0,,unidade-01-introducao-a-redes-de-computadores,
FR,04-camada-de-aplicacao,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap
FR,04-protocolo-http,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,05-protocolo-dns,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap
FR,06-protocolo-dhcp,,,1,1,bloco-03,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat
FR,07-protocolos-de-e-mail,,,1,1,bloco-05,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap
FR,08-desenvolvimento-de-aplicacoes,,,0,0,bloco-05,unidade-02-nivel-de-aplicacao,
FR,lista-de-exercicios-1-camada-de-aplicacao,,,1,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,unidade2-exercicios-dhcp,,,1,1,bloco-03,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat
FR,unidade2-exercicios-dns,,,1,1,bloco-05,unidade-02-nivel-de-aplicacao,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat
FR,unidade2-exercicios-http,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,tcp-chat-c,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,tcp-example,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,udp-example-c,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
FR,udp-example-java,,,0,0,bloco-03,unidade-02-nivel-de-aplicacao,paradigmas-clienteservidor-e-p2p
