curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
IA,o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,0,0,,,,,
IA,ia-responsável-7c4626,0,0,,,,,
IA,visao-geral-introducao-e-historico,0,0,,,bloco-01,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,mlp,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,arvores-de-decisao,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,aula-sobre-agrupamento-parte-1-particional,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,aula-sobre-agrupamento-parte-2-hierarquico,0,1,0,0,bloco-02,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,caracteristicas-dos-dados,0,1,1,1,,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,introducao-a-ml,0,1,1,1,,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,algoritmo-de-classificacao-k-nn,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,analise-exploratoria-dos-dados-exemplo-2,1,1,1,1,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,artigo-usando-k-nn-em-texto,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-de-programa-com-k-nn-em-java,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,introducao-a-redes-neurais,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-e-equacao-de-reta,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,como-analisar-resultados-acc-pr-re-e-f1,0,1,0,0,bloco-02,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,agrupamento-usando-k-means-exemplo-1-ipynb,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,agrupamento-usando-k-means-exemplo-2-ipynb,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,artigo-usando-agrupamento,0,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,survey-on-clustering,1,1,0,0,bloco-07,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,analise-exploratoria-de-dados-exemplo-1,1,1,1,1,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exemplo-com-k-nn,0,1,0,0,bloco-04,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,k-nn-para-classificacao-exemplo-cardio,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,k-nn-para-regressao-exemplo-imc,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-classificacao-planta-iris,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-classificacao-de-cliente,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
IA,rede-perceptron-exemplo-atualizado,1,1,0,0,bloco-05,unidade-de-aprendizagem-05-aprendizado-de-maquina,introducao-ao-aprendizado-de-maquina
