curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
MF,eth2,0,0,,,,,
MF,aws-encryption-sdk,0,0,,,,,
MF,archive-of-formal-proofs-355fb8,0,0,0,0,,,
MF,exerciciosformalizacaoalgoritmosrecursao3,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao2,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosconjuntosindutivos,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos
MF,conjuntosindutivos,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos
MF,logicapredicados-semantica,1,1,0,0,bloco-03,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,logicapredicados-sintaxe,1,1,1,1,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,logicaproposicional-sintaxe,1,1,0,0,bloco-03,unidade-01-metodos-formais,
MF,revisao,0,0,0,0,bloco-11,unidade-02-verificacao-de-programas,
MF,introducao,0,1,1,1,,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,provasindutivas-especificacoesrecursivas,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,provasindutivas-especificacoesrecursivas-arvores,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,provasindutivas-especificacoesrecursivas-listas,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exercicioscorrecaoinducaomatematica,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosespecificacao-respostas,1,1,1,1,bloco-03,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas
MF,exerciciosespecificacao,1,1,1,1,bloco-03,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas
MF,exerciciosformalizacaoalgoritmosrecursao2,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosisabelle2,0,1,1,0,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,logicaproposicional-semantica,0,0,0,0,bloco-16,unidade-03-verificacao-de-modelos,softwares-de-suporte-a-verificacao-formal-de-modelos
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao3,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosisabelle,0,1,1,1,bloco-05,unidade-01-metodos-formais,provadores-de-teoremas
MF,revisao-p1,1,1,,,bloco-07,unidade-01-metodos-formais,
MF,t1-2026-1,0,0,,,,,
MF,t1-2026-1-thy,0,0,,,,unidade-02-verificacao-de-programas,
