curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
SO,0206-laminas-gerencia-de-i-o-livro-texto,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,
SO,0205-laminas-segmentacao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,segmentacao
SO,1205-laminas-gerencia-de-memoria,1,1,,,bloco-13,unidade-05-gerencia-de-memoria,swapping
SO,2105-laminas-paginacao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,paginacao
SO,2403-escalonamento-de-processos,1,1,1,1,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,2603-algoritmos-de-escalonamento,1,1,1,1,bloco-04,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,exercicios,0,0,0,0,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
SO,apresentacao-da-disciplina,0,1,,,,unidade-02-gerencia-do-processador,
SO,lista-exercicios-p1-gabarito,1,1,,,bloco-09,unidade-03-programacao-concorrente,programas-multithreads
SO,lista-exercicios-p1,1,1,,,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,plano-de-ensino,1,1,,,bloco-01,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
SO,questoes-do-enade-sobre-sisop,0,1,,,,unidade-06-gerencia-de-arquivos,
SO,definicao-e-historico,0,1,1,0,,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,servicos-dos-sistemas-operacionais
SO,1203-processos,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,1703-chamada-de-sistema,1,1,1,1,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,chamadas-de-sistema
SO,1903-estruturas-de-controle,1,1,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-criacao-de-processos-no-unix-linux-filho,0,0,0,0,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,exemplo-criacao-de-processos-no-unix-linux-teste01,0,0,0,0,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,exemplo-criacao-de-processos-no-unix-linux-teste02,0,0,0,0,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,exemplo-criacao-de-processos-no-unix-linux-teste03,0,0,0,0,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,0704-laminas-comunicacao-e-sincronizacao,1,0,,,bloco-06,unidade-02-gerencia-do-processador,escalonamento
SO,0904-laminas-semaforos,1,0,,,bloco-06,unidade-02-gerencia-do-processador,escalonamento
SO,14-04-troca-de-mensagens,1,,,,bloco-07,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,1404-laminas-ipc,1,,,,bloco-07,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,laminas-cs-4244-internet-programming-sockets-programming,0,0,,,bloco-03,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,
SO,laminas-sockets-material-alternativo-em-pt,1,1,,,bloco-09,unidade-03-programacao-concorrente,comunicacao-e-sincronizacao-de-processos
SO,0704-exemplo-threads-em-java,1,0,,,bloco-06,unidade-02-gerencia-do-processador,conceitos-basicos
SO,3103-threads,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,biblioteca-em-c-pthread,1,0,,,bloco-04,unidade-02-gerencia-do-processador,escalonamento
SO,exemplo-threads-em-c-exemplo1,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,exemplo-threads-em-c-exemplo2,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,algoritmos-de-escalonamento
SO,exemplo-threads-em-c-exemplo3,1,0,0,0,bloco-04,unidade-02-gerencia-do-processador,
SO,0206-laminas-mecanismos-de-interrupcao,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,
SO,0206-laminas-memoria-virtual-livro-texto,1,1,,,bloco-16,unidade-05-gerencia-de-memoria,memoria-virtual
SO,2306-laminas-gerencia-de-arquivos,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,2306-laminas-laminas-armazenamento-em-massa,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,exercicios-p2,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,lista-exercicios-p2,1,1,,,bloco-20,unidade-06-gerencia-de-arquivos,arquivos
SO,programa,0,1,,,,unidade-02-gerencia-do-processador,
