curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
TCC,aula-17-complexidade-de-tempo-classes-p-e-np,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,complexidade-de-tempo-e-de-espaco
TCC,plano-de-ensino,1,1,,,bloco-01,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
TCC,aula-17-np-completude-pdf,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,teorema-de-cook-levin
TCC,trabalho-t2-enunciado,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,3dm-caetano-gabriel-e-gustavo,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,cubic-3-edge-coloring,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,
TCC,programacao-inteira-01-20260617-154423-0000,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,t1-enunciado,0,,1,1,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,1,1,1,1,bloco-06,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-08-maquinas-de-turing-como-processadoras-de-funcoes,1,1,1,0,bloco-06,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,1,1,1,1,bloco-09,unidade-02-turing-computabilidade,linguagens-reconheciveis-e-decidiveis
TCC,aula-11-o-problema-da-parada-halting-problem-halteproblem-pdf,1,0,,,bloco-10,unidade-02-turing-computabilidade,conjectura-de-church-turing
TCC,aula-12-entscheidungsproblem-pdf,1,1,,,bloco-11,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-13-teorema-de-rice-pdf,1,1,,,bloco-12,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,3d-matching,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,integer-programming-0001,1,,,,bloco-25,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,reducao-polinomial-de-problemas
TCC,aula-16-classes-de-problemas-e-complexidade-pdf,1,1,,,bloco-19,unidade-04-hierarquia-de-classes-de-complexidade-de-problemas-computacionais,hierarquia-de-classes-de-complexidade-de-problemas
TCC,aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade,1,1,0,0,bloco-01,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
TCC,aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor,1,1,1,0,bloco-02,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,conjuntos-enumeraveis
TCC,aula-16-exemplo-de-prova-para-revisao,1,,,,bloco-16,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-05-minimizacao-de-funcoes-recursivas-parciais,1,1,1,1,bloco-03,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,1,,1,1,bloco-05,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
TCC,aula-09-variacoes-de-maquinas-de-turing,1,1,0,0,bloco-08,unidade-02-turing-computabilidade,maquinas-de-turing
TCC,aula-14-problema-da-correspondencia-de-post,1,1,,,bloco-13,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
TCC,aula-15-teoremas-de-incompletude-de-godel,1,1,,,bloco-14,unidade-03-problemas-indecidiveis,prova-da-indecidibilidade-do-problema-da-parada
