curso,entry_id,unidade,classe,tipo,confiante,gold_primario,gold_extras,pred_cru,PLANO,SARC,SECAO,TITULO,HEADINGS,CORPO,WEEKLBL,FNORIG,PLANO_p,SARC_p,SECAO_p,TITULO_p,HEADINGS_p,CORPO_p,WEEKLBL_p,FNORIG_p,SARC_nhits,SECAO_nhits,TITULO_nhits,HEADINGS_nhits,CORPO_nhits,WEEKLBL_nhits,FNORIG_nhits,score_gold,score_winner,gold_score_zero,gold_e_argmax_1a,ganho_PLANO,ganho_SARC,ganho_SECAO,ganho_TITULO,ganho_HEADINGS,ganho_CORPO,ganho_WEEKLBL,ganho_FNORIG,existe_SARC,existe_WEEKLBL,existe_FNORIG
MF,archive-of-formal-proofs-355fb8,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,,abordagens-para-verificacao-formal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0.02,11.94,0,0,0,0,0,0,0,0,0,0,1,0,0
MF,logicapredicados-semantica,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,fundamentos-de-logica-de-primeira-ordem,,especificacao-de-funcoes-recursivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02,1.20,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,logicaproposicional-sintaxe,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,especificacao-de-funcoes-recursivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02,0.12,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,revisao,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,sistemas-formais,,especificacao-de-conjuntos-indutivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0.00,8.29,1,0,0,0,0,0,0,0,0,0,1,1,1
MF,exerciciosespecificacao-respostas,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,linguagens-de-especificacao-e-logicas,,especificacao-de-funcoes-recursivas,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.42,1.12,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,exerciciosespecificacao,unidade-01-metodos-formais,alcancavel-em-tese,vazio,0,linguagens-de-especificacao-e-logicas,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.42,0.99,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,logicaproposicional-semantica,unidade-01-metodos-formais,alcancavel-em-tese,vazio,0,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02,0.12,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,arvores,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0.12,0.91,0,0,0,0,1,0,0,0,0,0,1,1,1
MF,exemplos,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,especificacao-de-funcoes-recursivas;especificacao-de-conjuntos-indutivos,exemplos-de-aplicacoes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0.12,11.09,0,0,0,0,0,0,0,0,0,0,1,1,1
MF,intro,unidade-01-metodos-formais,alcancavel-em-tese,trocado,1,provadores-de-teoremas,especificacao-de-conjuntos-indutivos;especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.94,0.94,0,1,0,0,0,0,0,0,0,0,1,1,1
