curso,regime,entry_id,pino_manual,unidade,bloco,gold_primario,gold_extras,pred_controle,pred_A,pred_B,aceito_controle,aceito_A,aceito_B,prim_controle,prim_A,prim_B,conf_controle,conf_A,conf_B,sarc_slug,sarc_motivo,sarc_sessoes
MF,cru,archive-of-formal-proofs-355fb8,0,unidade-01-metodos-formais,c4bf9e4c-80f8-4e57-b2b1-a943c6656e52,provadores-de-teoremas,,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0,0,0,0,0,0,1,1,1,,nenhum,
MF,cru,exerciciosformalizacaoalgoritmosrecursao3,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,1,1,1,1,0,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,formalizacaoalgoritmos-recursao2,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,1,1,1,0,0,0,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,exerciciosconjuntosindutivos,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-conjuntos-indutivos,,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,1,1,1,1,1,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,conjuntosindutivos,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-conjuntos-indutivos,,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,1,1,1,1,1,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,logicapredicados-semantica,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,fundamentos-de-logica-de-primeira-ordem,,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,0,0,0,0,0,0,1,1,1,,nenhum,
MF,cru,logicapredicados-sintaxe,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,fundamentos-de-logica-de-primeira-ordem,,fundamentos-de-logica-de-primeira-ordem,fundamentos-de-logica-de-primeira-ordem,fundamentos-de-logica-de-primeira-ordem,1,1,1,1,1,1,1,1,1,,nenhum,
MF,cru,logicaproposicional-sintaxe,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,0,0,0,0,0,0,1,1,1,,nenhum,
MF,cru,revisao,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,sistemas-formais,,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,0,0,0,0,0,0,1,1,1,,nenhum,
MF,cru,introducao,0,unidade-01-metodos-formais,1e73625a-de3e-4c8a-87c4-d301a3138c0b,abordagens-para-verificacao-formal,exemplos-de-aplicacoes,exemplos-de-aplicacoes,exemplos-de-aplicacoes,exemplos-de-aplicacoes,1,1,1,0,0,0,1,1,1,,nenhum,
MF,cru,provasindutivas-especificacoesrecursivas,0,unidade-01-metodos-formais,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,1,1,1,1,1,1,,nenhum,
MF,cru,provasindutivas-especificacoesrecursivas-arvores,0,unidade-01-metodos-formais,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,1,1,1,1,1,1,,nenhum,
MF,cru,provasindutivas-especificacoesrecursivas-listas,0,unidade-01-metodos-formais,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,1,1,1,1,1,1,,nenhum,
MF,cru,exercicioscorrecaoinducaomatematica,0,unidade-01-metodos-formais,7a5e29db-f228-4e96-bd4b-272d5b74e2ae,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,1,1,1,1,1,1,,nenhum,
MF,cru,exerciciosespecificacao-respostas,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,linguagens-de-especificacao-e-logicas,,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,0,0,0,0,0,0,1,1,1,,nenhum,
MF,cru,exerciciosespecificacao,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,linguagens-de-especificacao-e-logicas,,,,,0,0,0,0,0,0,0,0,0,,nenhum,
MF,cru,exerciciosformalizacaoalgoritmosrecursao2,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,1,1,1,1,0,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,exerciciosisabelle2,0,unidade-01-metodos-formais,5599d015-10e0-4f6e-ad17-c526b903dc09,provadores-de-teoremas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,0,0,0,1,1,1,,nenhum,
MF,cru,logicaproposicional-semantica,0,unidade-01-metodos-formais,2edd762f-2dc8-4437-90c7-c207b796434a,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,,,,0,0,0,0,0,0,0,0,0,,nenhum,
MF,cru,exerciciosformalizacaoalgoritmosrecursao-respostas,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,1,0,1,1,0,1,0,0,0,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,formalizacaoalgoritmos-recursao,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,1,0,1,1,0,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,formalizacaoalgoritmos-recursao3,0,unidade-01-metodos-formais,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,especificacao-de-funcoes-recursivas,1,1,1,1,0,1,1,1,1,especificacao-de-conjuntos-indutivos,decide,bloco-04-sessao-2026-03-11::conjuntos indutivos e equacoes recursivas aula::especificacao-de-conjuntos-indutivos
MF,cru,exerciciosisabelle,0,unidade-01-metodos-formais,5599d015-10e0-4f6e-ad17-c526b903dc09,provadores-de-teoremas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1,1,1,0,0,0,1,1,1,,nenhum,
