curso,entry_id,grupo,gold,code_gold,rival,code_rival,score_gold,score_rival,frase_filho_casa,frase_pai_casa,n_distintivos_filho,distintivos_filho,chars_texto,razoes
MF,archive-of-formal-proofs-355fb8,E-pai,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.017,9.506,0,0,0,,473,winner_score=11.94
MF,exerciciosformalizacaoalgoritmosrecursao3,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.446,0.0,0,0,9,algoritmo;algoritmos;arvores;como;equacoes;formalizacao;listas;recursivas;sobre,1230,winner_score=9.45
MF,formalizacaoalgoritmos-recursao2,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.546,0.388,0,0,9,algoritmos;como;equacoes;formalizacao;funcoes;listas;polimorficas;recursivas;sobre,2773,winner_score=16.53;rotulo-decomposto
MF,exerciciosconjuntosindutivos,C-filho,especificacao-de-conjuntos-indutivos,1.2.2,linguagens-de-especificacao-e-logicas,1.2,11.842,0.0,0,0,4,arvores;conjuntos;indutivos;listas,2171,winner_score=11.84
MF,conjuntosindutivos,C-filho,especificacao-de-conjuntos-indutivos,1.2.2,linguagens-de-especificacao-e-logicas,1.2,12.302,0.388,0,0,7,arvores;conjuntos;definicao;indutiva;indutivos;listas;polimorficas,13752,winner_score=12.30
MF,logicapredicados-semantica,C-filho,fundamentos-de-logica-de-primeira-ordem,1.2.1,linguagens-de-especificacao-e-logicas,1.2,7.096,0.0,0,0,1,predicados,5578,winner_score=7.10
MF,logicapredicados-sintaxe,C-filho,fundamentos-de-logica-de-primeira-ordem,1.2.1,linguagens-de-especificacao-e-logicas,1.2,11.664,0.0,0,0,4,ordem;predicados;primeira;proposicional,6323,winner_score=11.66
MF,logicaproposicional-sintaxe,C-pai,linguagens-de-especificacao-e-logicas,1.2,fundamentos-de-logica-de-primeira-ordem,1.2.1,0.0,10.392,0,0,1,proposicional,5424,winner_score=10.39
MF,introducao,C-pai,abordagens-para-verificacao-formal,1.3,provadores-de-teoremas,1.3.3,5.16,3.222,0,1,4,assistentes;prova;provadores;teoremas,8739,winner_score=7.06;ambiguous
MF,provasindutivas-especificacoesrecursivas,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.366,0.0,0,0,9,arvores;como;especificacoes;funcoes;inducao;listas;provas;recursivas;sobre,7110,winner_score=9.37
MF,provasindutivas-especificacoesrecursivas-arvores,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,1.584,0.0,0,0,7,arvores;como;especificacoes;inducao;provas;recursivas;sobre,2790,winner_score=1.58
MF,provasindutivas-especificacoesrecursivas-listas,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,1.584,0.0,0,0,7,como;especificacoes;inducao;listas;provas;recursivas;sobre,2544,winner_score=1.58
MF,exercicioscorrecaoinducaomatematica,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.086,0.0,0,0,7,equacionais;equacoes;especificacoes;inducao;listas;provas;recursivas,1972,winner_score=9.09
MF,exerciciosespecificacao-respostas,E-filho,linguagens-de-especificacao-e-logicas,1.2,fundamentos-de-logica-de-primeira-ordem,1.2.1,0.422,4.578,0,0,2,ordem;predicados,5264,winner_score=6.99
MF,exerciciosespecificacao,E-filho,linguagens-de-especificacao-e-logicas,1.2,fundamentos-de-logica-de-primeira-ordem,1.2.1,0.422,4.578,0,0,2,ordem;predicados,3366,winner_score=6.99
MF,exerciciosformalizacaoalgoritmosrecursao2,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.086,0.0,0,0,7,algoritmos;como;equacoes;formalizacao;listas;recursivas;sobre,967,winner_score=9.09
MF,exerciciosisabelle2,C-filho,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.159,0.142,0,0,1,prova,2981,winner_score=2.03
MF,logicaproposicional-semantica,C-pai,linguagens-de-especificacao-e-logicas,1.2,fundamentos-de-logica-de-primeira-ordem,1.2.1,0.0,10.392,0,0,1,proposicional,10581,winner_score=10.39
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,1.123,0.0,0,0,3,algoritmos;como;formalizacao,1414,winner_score=1.12
MF,formalizacaoalgoritmos-recursao,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.906,0.0,0,0,12,algoritmo;algoritmos;como;equacionais;equacoes;especificacoes;formalizacao;formalizando;funcoes;nocao;recursivas;sobre,19315,winner_score=13.10;rotulo-decomposto
MF,formalizacaoalgoritmos-recursao3,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,16.352,0.0,0,0,9,algoritmo;algoritmos;arvores;equacoes;formalizacao;funcoes;polimorficas;recursivas;sobre,2360,winner_score=23.34;rotulo-decomposto
MF,exerciciosisabelle,C-filho,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.994,0.142,0,0,2,prova;teoremas,2561,winner_score=1.64
MF,exerciciosformalizacaoalgoritmosrecursao,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,9.086,0.0,0,0,7,algoritmos;como;equacoes;formalizacao;funcoes;listas;recursivas,2007,winner_score=9.09
MF,arvores,E-pai,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.017,0.907,0,0,0,,1239,winner_score=0.91
MF,listas,E-pai,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.017,0.907,0,0,0,,1447,winner_score=0.91
MF,provas,E-pai,provadores-de-teoremas,1.3.3,abordagens-para-verificacao-formal,1.3,0.017,0.907,0,0,0,,2559,winner_score=0.91
MF,correcaoterminacao,C-filho,correcao-parcial-e-total,2.1.2,logica-de-hoare,2.1,26.655,4.458,1,0,5,algoritmos;correcao;parcial;terminacao;total,12176,winner_score=26.65
MF,exercicioscorrecaoterminacao,C-filho,correcao-parcial-e-total,2.1.2,logica-de-hoare,2.1,18.288,0.142,0,0,2,correcao;terminacao,1686,winner_score=18.29
MF,exerciciosformalizacaoalgoritmosinvariantes,C-filho,invariante-e-variante-de-laco,2.1.3,logica-de-hoare,2.1,18.91,0.142,0,0,5,algoritmos;formalizacao;invariante;invariantes;laco,2179,winner_score=18.91
MF,formalizacaoalgoritmos-invarianteslaco,C-filho,invariante-e-variante-de-laco,2.1.3,logica-de-hoare,2.1,15.632,0.108,0,0,5,algoritmos;formalizacao;invariante;invariantes;laco,28628,winner_score=29.24;rotulo-decomposto
MF,logicadehoare,C-pai,logica-de-hoare,2.1,pre-e-pos-condicoes,2.1.1,12.627,1.39,1,1,1,condicoes,19135,winner_score=12.63
MF,logicadehoare2,C-pai,logica-de-hoare,2.1,pre-e-pos-condicoes,2.1.1,5.06,0.017,0,1,0,,5913,winner_score=10.89;rotulo-decomposto
MF,exercicioslogicatemporal,C-pai,fundamentos-de-logicas-temporais,3.2,logica-temporal-linear,3.2.1,0.0,8.366,0,0,2,modelos;temporal,5153,winner_score=8.37
MF,classes-parte1,C-filho,pre-e-pos-condicoes,2.1.1,logica-de-hoare,2.1,0.017,0.0,0,0,0,,1311,winner_score=0.94
MF,hoare,E-filho,logica-de-hoare,2.1,correcao-parcial-e-total,2.1.2,0.108,3.488,0,0,1,correcao,539,winner_score=3.49
MF,invariantes,C-filho,invariante-e-variante-de-laco,2.1.3,logica-de-hoare,2.1,8.106,0.0,0,0,2,invariantes;laco,323,winner_score=8.11
MF,exerciciosformalizacaoalgoritmosrecursao3-respostas,C-filho,especificacao-de-funcoes-recursivas,1.2.3,linguagens-de-especificacao-e-logicas,1.2,8.726,0.0,0,0,5,algoritmos;equacoes;formalizacao;listas;recursivas,1028,winner_score=8.73
