arquivo,topico_cronograma,bloco_computado,pin_manual,bloco_temporal,datas_bloco
o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,,,bloco-01,,2026-03-02→2026-03-02
ia-responsável-7c4626,,,bloco-01,,2026-03-02→2026-03-02
aprendizadonaosupervisionado-agrupamento-parte1,Semana 8 - 20.04 a 24.04 - ML - Aprendizado Não Supervisionado,bloco-06,,bloco-06,2026-04-20→2026-04-27
aprendizadonaosupervisionado-agrupamento-parte2,Semana 9 - 27.04 a 01.05 - ML - Aprendizado Não Supervisionado,bloco-07,,bloco-06,2026-04-20→2026-04-27
aprendizadosupervisionado-arvoresdedecisao-duncan,,bloco-04,,,2026-03-11→2026-03-16
mlp-novaversao,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,bloco-05,,bloco-05,2026-03-18→2026-04-15
redesperceptron2023-02,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,bloco-05,,bloco-05,2026-03-18→2026-04-15
aula01-introducao-ia,Semana 1 - 02.03 a 06.03 - Plano de Ensino e Introdução a IA,bloco-01,,bloco-01,2026-03-02→2026-03-02
p1-2024-02-ia,TDE Trabalho Discente Efetivo,bloco-08,bloco-08,,2026-05-04→2026-05-04
como-analisar-resultados-sse-comcorrecoes,Semana 6 - 06.04 a 10.04 - ML - Aprendizado Supervisionado,bloco-05,,bloco-05,2026-03-18→2026-04-15
inteligencia-artificial-aula-29-aprendizagem-de-maquina-medidas-de-avaliacao,,bloco-04,,,2026-03-11→2026-03-16
perceptron-equacaodereta,Semana 5 -30.03 a 01.04 ML - Aprendizado Supervisionado,bloco-05,,bloco-05,2026-03-18→2026-04-15
introducaoredesneurais-2023-02,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,bloco-05,,bloco-05,2026-03-18→2026-04-15
aprendizadosupervisionado-classificacao-knn,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,bloco-04,,bloco-04,2026-03-11→2026-03-16
