#;material;tipo;tópico;bloco_correto;confiança;obs
1;aula01_Introducao_IA.pdf;pdf;aula01 Introducao IA;01 — Plano de Ensino / Visão Geral da IA;alta;
2;IA Responsável;artigo;IA Responsável;01 — Plano de Ensino / Visão Geral da IA;alta;
3;O que é Inteligência Artificial (IA)? | Oracle Brasil;artigo;O que é Inteligência Artificial (IA)? | Oracle Brasil;01 — Plano de Ensino / Visão Geral da IA;alta;
4;Visão Geral - Introdução e Histórico.pdf;pdf;Visão Geral Introdução e Histórico;01 — Plano de Ensino / Visão Geral da IA;alta;
5;Analise Exploratória dos Dados - Exemplo 2.ipynb;código;Analise Exploratória dos Dados Exemplo 2;03 — Preparação de Dados / k-NN;alta;
6;CaracteristicasDosDados.pdf;pdf;Caracteristicas Dos Dados;03 — Preparação de Dados / k-NN;alta;
7;Características dos Dados.pdf;pdf;Características dos Dados;02 — Introdução à ML / Tipos de Dados;alta;
8;Introdução a ML.pdf;pdf;Introdução a ML;02 — Introdução à ML / Tipos de Dados;alta;
9;IntroducaoML - atualização2025.pdf;pdf;Introducao ML atualização2025;02 — Introdução à ML / Tipos de Dados;alta;
10;Algoritmo de Classificação k-NN.pdf;pdf;Algoritmo de Classificação k NN;03 — Preparação de Dados / k-NN;;
11;AprendizadoSupervisionado-ArvoresDeDecisao-Duncan.pdf;pdf;Aprendizado Supervisionado Arvores De Decisao Duncan;07 — Regressão / Árvores de Decisão;alta;
12;AprendizadoSupervisionado-Classificacao - kNN.pdf;pdf;Aprendizado Supervisionado Classificacao k NN;03 — Preparação de Dados / k-NN;alta;
13;Artigo usando k-NN em texto.pdf;artigo;Artigo usando k NN em texto;03 — Preparação de Dados / k-NN;alta;
14;Árvores de Decisão.pdf;pdf;Árvores de Decisão;07 — Regressão / Árvores de Decisão;alta;
15;Exemplo de programa com k-NN (em java).zip;código;Exemplo de programa com k NN (em java);03 — Preparação de Dados / k-NN;alta;
16;Introducao a redes neurais.pdf;pdf;Introducao a redes neurais;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
17;IntroducaoRedesNeurais_2023_02.pdf;pdf;Introducao Redes Neurais 2023 02;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
18;MLP.pdf;pdf;MLP;05 — Perceptron / MLP;alta;
19;mlp_novaVersao.pdf;pdf;mlp nova Versao;05 — Perceptron / MLP;alta;
20;Perceptron-equaçãodeReta.pdf;pdf;Perceptron equaçãode Reta;05 — Perceptron / MLP;alta;
21;Rede Perceptron.pdf;pdf;Rede Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
22;Rede Perceptron e Equação de Reta.pdf;pdf;Rede Perceptron e Equação de Reta;05 — Perceptron / MLP;alta;
23;RedesPerceptron2023_02.pdf;pdf;Redes Perceptron2023 02;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
24;Como analisar resultados Acc, Pr, Re e F1.pdf;pdf;Como analisar resultados Acc, Pr, Re e F1;06 — MLP (exercícios) / Métricas;alta;
25;Como Analisar Resultados - SSE_comCorrecoes.pdf;pdf;Como Analisar Resultados SSE com Correcoes;06 — MLP (exercícios) / Métricas;alta;
26;Inteligencia Artificial Aula 29 - Aprendizagem de Maquina Medidas de avaliação.pdf;pdf;Inteligencia Artificial Aula 29 Aprendizagem de Maquina Medidas de avaliação;06 — MLP (exercícios) / Métricas;baixa;
27;agrupamento usando k-Means exemplo 1 (.ipynb).ipynb;código;agrupamento usando k Means exemplo 1 (.ipynb);08 — k-Means;alta;"Mesmo arquivo que o material ""Como analisar resultados Acc, Pr, Re e F1.pdf"""
28;agrupamento usando k-Means exemplo 2 (.ipynb).ipynb;código;agrupamento usando k Means exemplo 2 (.ipynb);08 — k-Means;alta;
29;AprendizadoNaoSupervisionado-Agrupamento - parte1.pdf;pdf;Aprendizado Nao Supervisionado Agrupamento parte1;08 — k-Means;alta;
30;AprendizadoNaoSupervisionado-Agrupamento - parte2.pdf;pdf;Aprendizado Nao Supervisionado Agrupamento parte2;09 — Agrupamento Hierárquico / Dúvidas T1;alta;
31;Artigo usando agrupamento.pdf;artigo;Artigo usando agrupamento;08 — k-Means;alta;
32;Aula sobre Agrupamento - parte 1 (particional).pdf;pdf;Aula sobre Agrupamento parte 1 (particional);08 — k-Means;alta;
33;Aula sobre Agrupamento - parte 2 (hierarquico).pdf;pdf;Aula sobre Agrupamento parte 2 (hierarquico);09 — Agrupamento Hierárquico / Dúvidas T1;alta;
34;Survey on Clustering.pdf;artigo;Survey on Clustering;08 — k-Means;alta;
35;AG feito em aula pelo Luca.py;código;AG feito em aula pelo Luca;13 — Algoritmos Genéticos (AG);alta;
36;Algoritmo Dijkstra.pdf;pdf;Algoritmo Dijkstra;14 — Hill Climbing-SA / Dijkstra;alta;
37;Algoritmo Genetico.pdf;pdf;Algoritmo Genetico;12 — Busca Informada / Algoritmos Genéticos (AG);alta;
38;Cap. sobre Algoritmos Geneticos (Lacerda e outros).pdf;pdf;Cap. sobre Algoritmos Geneticos (Lacerda e outros);12 — Busca Informada / Algoritmos Genéticos (AG);alta;
39;Hill Climbing e Simulated Annealing.pdf;pdf;Hill Climbing e Simulated Annealing;14 — Hill Climbing-SA / Dijkstra;alta;
40;ImplementacaoMinimax.zip;código;Implementacao Minimax;15 — Minimax / Correção P1 / Dúvidas T2;alta;
41;Introducao a busca informada.pdf;pdf;Introducao a busca informada;12 — Busca Informada / Algoritmos Genéticos (AG);alta;
42;Minimax.pdf;pdf;Minimax;15 — Minimax / Correção P1 / Dúvidas T2;alta;
43;minimax-teoria.pdf;pdf;minimax teoria;;alta;
44;Outros operadores.pdf;pdf;Outros operadores;12 — Busca Informada / Algoritmos Genéticos (AG);alta;
45;programa-exemplo AG.zip;código;programa exemplo AG;;alta;
46;Programas-exemplo HC, SA (versão para NRainhas e Distribuição de Cargas).zip;código;Programas exemplo HC, SA (versão para NRainhas e Distribuição de Cargas);14 — Hill Climbing-SA / Dijkstra;alta;
47;Lista de Exercicios I.pdf;lista;Lista de Exercicios I;15 — Minimax / Correção P1 / Dúvidas T2;média;
48;lista1.pdf;lista;lista1;11 — Exercícios Gerais / Prova 1 (P1);média;
49;P1_2024_02_IA.pdf;prova;P1 2024 02 IA;11 — Exercícios Gerais / Prova 1 (P1);média;
50;Prova 1 2024 02.pdf;prova;Prova 1 2024 02;11 — Exercícios Gerais / Prova 1 (P1);média;
51;P2_IA_2024.pdf ;prova;Prova 2 2024 02;18 — Apresentação T2 / Prova P2;alta;
52;Agentes.pdf;pdf;Agentes IA;17 — Introdução a Agentes;alta;
53;P2_IA_2024_02_A_turma30.pdf ;prova;Prova 02 IA Turma 30;18 — Apresentação T2 / Prova P2;alta;
54;Análise Exploratória de Dados - Exemplo 1.ipynb;codigo;Analise Exploratoria / Prep. de Dados;03 — Preparação de Dados / k-NN;alta;
55;Exemplo 2 k-NN (com IRIS.csv) - mais completo.ipynb;codigo;k-NN;03 — Preparação de Dados / k-NN;alta;
56;Exemplo com k-NN.ipynb;codigo;k-NN;03 — Preparação de Dados / k-NN;alta;
57;Exercicio 2 - Solução com rede Perceptron (atualizado).ipynb;codigo;Perceptron;04 — k-NN (exercícios) / Redes Neurais (intro);alta;
