card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-640c68
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-petclinic
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-framework-petclinic
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,eshoponweb
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,modular-monolith-nestjs
(sem card),1,bloco-07,"11,12",2 dias · 22/05/2026 a 29/05/2026,implantacao microservicos conteineres,baixa,bloco-07,sem source_section -> predicao do funil,sam-newman-3ebf05
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,what-are-microservices-2c819d
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,patterns-for-api-design-4b69be
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,microservices-93899a
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,guias-de-arquitetura-do-aplicativo-net-75b4b8
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,the-spring-petclinic-community-512e7f
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,exemplos-e-praticas-recomendadas-de-arquitetura-de-referencia-c164ea
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-security-e618bc
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,overview-spring-security-docs-700-api-f91854
(sem card),1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,bloco-01,sem source_section -> predicao do funil,rabbitmq-one-broker-to-queue-them-all-rabbitmq-5b4eaa
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-amqp-a70a79
(sem card),1,bloco-06,10,1 dia · 15/05/2026,microservicos spring circuit breaker,baixa,bloco-06,sem source_section -> predicao do funil,resilience4j-b04e80
(sem card),1,bloco-06,10,1 dia · 15/05/2026,microservicos spring circuit breaker,baixa,bloco-06,sem source_section -> predicao do funil,spring-cloud-circuit-breaker-f78df2
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-cloud-gateway-49e0da
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-cloud-loadbalancer-spring-cloud-commons-f8bf2b
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-cloud-netflix-0e99c3
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-cloud-openfeign-79c19e
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-cloud-188005
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,spring-boot-612cac
(sem card),1,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,bloco-04,sem source_section -> predicao do funil,microsservices-126e62
Exercícios Revisão para Provas,1,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,media,bloco-01,sem card-map; predicao unanime,revisao-p1
