card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,bloco-05,6,1 dia · 25/03/2026,alfabeto cadeia linguagem hierarquia chomsky lemas propriedades automatos,baixa,bloco-05,sem source_section -> predicao do funil,revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos
Semana 1 - Enumerabilidade e Argumento da Diagonalização de Cantor,2,bloco-02,1,1 dia · 06/03/2026,conjuntos enumeraveis argumento diagonalizacao cantor,baixa,bloco-02,"sem card-map; predicoes={'bloco-02': 1, 'bloco-01': 1}",aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor;aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade
Semana 10 - Revisão para P1 e Prova P1,1,bloco-16,18,1 dia · 06/05/2026,para,alta,bloco-16,card_block_map (source=manual),aula-16-exemplo-de-prova-para-revisao
Semana 11 - Classes de Problemas e Complexidade,1,bloco-19,"21,22,23",3 dias · 15/05/2026 a 22/05/2026,classes problemas complexidade tempo espaco teorema savitch complete hard intractability reducao,media,bloco-19,sem card-map; predicao unanime,aula-16-classes-de-problemas-e-complexidade
Semana 12 - NP-completude,1,bloco-22,"26,27",2 dias · 03/06/2026 a 05/06/2026,complexidade tempo classe hard reducao problemas pspace complete,media,bloco-22,sem card-map; predicao unanime,aula-17-np-completude
Semana 13 - Trabalho T2,1,bloco-23,28,1 dia · 10/06/2026,trabalho,alta,bloco-23,card_block_map (source=manual),enunciado-t2
"Semana 2 - Funções Recursivas Primitivas, Parciais e Totais",2,bloco-03,"2,3,4",3 dias · 11/03/2026 a 18/03/2026,funcoes recursivas primitivas composicao parciais computaveis minimizacao,media,bloco-03,sem card-map; predicao unanime,aula-04-funcoes-computaveis-funcoes-recursivas-parciais;aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes
Semana 3 - Operações de Minimização e Trabalho T1,2,bloco-03,"2,3,4",3 dias · 11/03/2026 a 18/03/2026,funcoes recursivas primitivas composicao parciais computaveis minimizacao,media,bloco-03,sem card-map; predicao unanime,enunciado-t1;aula-05-minimizacao-de-funcoes-recursivas-parciais
Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,3,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,bloco-09,"sem card-map; predicoes={'bloco-09': 2, 'bloco-06': 1}",aula07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis;aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos;aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos
Semana 5 - Codificação de Máquinas de Turing e Equivalência Entre Modelos,1,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,media,bloco-09,sem card-map; predicao unanime,aula-08-maquinas-de-turing-como-processadores-de-funcoes
Semana 6 - Variações de Máquinas de Turing e Linguagens Decidíveis,2,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,media,bloco-09,sem card-map; predicao unanime,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis;aula-09-variacoes-de-maquinas-de-turing
Semana 7- Halteproblem und Entscheidungsproblem,2,bloco-10,12,1 dia · 15/04/2026,halting problem,media,bloco-10,sem card-map; predicao unanime,aula-12-entscheidungsproblem;aula-11-o-problema-da-parada-halting-problem-halteproblem
Semana 8 - Teorema de Rice e Problema da Correspondência de Post,2,bloco-13,15,1 dia · 24/04/2026,problema correspondencia post,media,bloco-13,sem card-map; predicao unanime,aula-14-problema-da-correspondencia-de-post;aula-13-teorema-de-rice
Semana 9 - Teoremas de Gödel,1,bloco-14,16,1 dia · 29/04/2026,teoremas godel,media,bloco-14,sem card-map; predicao unanime,aula-15-teoremas-de-incompletude-de-godel
