block_uuid,block_id,date_start,date_end,kind,topic_text,unit_slug_atual,true_unit,notes
31997686-f3b5-4ecc-870c-0774732c3ee0,bloco-01,2026-03-03,2026-03-03,overview,disciplina introducao,,,
f5346083-a19d-43f5-a894-8c9c8676d3ba,bloco-02,2026-03-05,2026-03-05,overview,introducao,,,
bdcc7b26-25b0-4102-9c5b-d3af31606ad3,bloco-03,2026-03-10,2026-03-31,class,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,,
64312a33-cd7d-4585-95ee-4559dc787bc2,bloco-04,2026-04-02,2026-04-02,holiday,feriado,,,
1945c228-4ca2-4a76-8d63-47c804459ecd,bloco-05,2026-04-07,2026-04-16,class,gerencia processador sincronizacao deadlock especificacao,unidade-02-gerencia-do-processador,,
75bd1571-aa39-41a6-a862-f0647d48dd1b,bloco-06,2026-04-21,2026-04-21,holiday,feriado,,,
cfb895fb-78a4-4adc-848a-065e975cd5bf,bloco-07,2026-04-23,2026-04-28,class,comunicacao entre processos pipes filas,unidade-03-programacao-concorrente,,
fc0b5c7e-2071-490f-b65d-284ddc127963,bloco-11,2026-05-12,2026-05-28,class,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,unidade-05-gerencia-de-memoria,,
a838bf45-b6d1-48fc-b70b-0bd4de35d1ef,bloco-12,2026-06-02,2026-06-02,class,enunciado gerencia,unidade-07-gerencia-de-entrada-e-saida,,
47d76cbe-ed7e-43ad-b144-de0bb07a16a9,bloco-13,2026-06-04,2026-06-04,holiday,feriado,,,
2455cd0a-52aa-4753-bf07-df6bbc8a0408,bloco-14,2026-06-09,2026-06-11,class,gerencia,unidade-05-gerencia-de-memoria,,
599004b1-292b-4648-9221-9bc432b77937,bloco-15,2026-06-16,2026-06-18,class,gerencia arquivos,unidade-06-gerencia-de-arquivos,,
421a6e1a-2488-4274-84cd-1e2f4f956db9,bloco-16,2026-06-23,2026-06-23,office_hours,duvidas para,,,
160eff04-bea9-4349-8a4b-992311cce6be,bloco-21,2026-07-09,2026-07-16,reserved,reserva tecnica,,,
