block_uuid,block_id,date_start,date_end,kind,topic_text,unit_slug_atual,true_unit,notes
667491f1-cffe-45f5-8b3f-29b0cec9d25a,bloco-01,2026-03-04,2026-03-04,class,sobre teoria conjuntos,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
18a1092a-9a22-4d54-b02b-59414b171496,bloco-02,2026-03-06,2026-03-06,class,conjuntos enumeraveis argumento diagonalizacao cantor,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
e4678122-f30f-4385-bbed-3a682d728920,bloco-03,2026-03-11,2026-03-18,class,funcoes recursivas primitivas composicao parciais computaveis minimizacao,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,
d186cb31-790d-442f-9af0-df306a4dd8e4,bloco-04,2026-03-20,2026-03-20,deliverable,Trabalho T1,,,FORA DA RÉGUA (kind=deliverable)
ee594a67-ac2f-480c-ae87-9f4bdcdb5f52,bloco-05,2026-03-25,2026-03-25,class,alfabeto cadeia linguagem hierarquia chomsky lemas propriedades automatos,,,revisao de pre-requisitos (LFA: alfabeto/Chomsky/automatos) — fora das 4 unidades do plano
cbf887a2-7073-441b-b695-8b3d8d1d1b86,bloco-06,2026-03-27,2026-04-01,class,maquinas turing linguagens recursivamente enumeraveis como processadoras funcoes,unidade-02-turing-computabilidade,unidade-02-turing-computabilidade,
a4263cdf-6d6d-4d75-859f-aec6c5e28530,bloco-07,2026-04-03,2026-04-03,holiday,feriado,,,
79dccea0-6d43-4021-b63c-ca9fbc63c451,bloco-08,2026-04-08,2026-04-08,class,variacoes maquias turing,unidade-02-turing-computabilidade,unidade-02-turing-computabilidade,
3e3be596-9527-42ba-ad20-c15956e48f4e,bloco-09,2026-04-10,2026-04-10,class,linguagens reconheciveis decidiveis maquinas turing universais,unidade-02-turing-computabilidade,unidade-02-turing-computabilidade,
e09117dc-5a43-42db-a0b6-e3c59ad9c444,bloco-10,2026-04-15,2026-04-15,class,halting problem,unidade-03-problemas-indecidiveis,unidade-03-problemas-indecidiveis,
b01d21d6-f4f5-4a53-be51-e7278017b6d5,bloco-11,2026-04-17,2026-04-17,class,entscheidungsproblem,unidade-03-problemas-indecidiveis,unidade-03-problemas-indecidiveis,
0cd0390b-85a1-42c8-b7d5-f6b2524c8ea9,bloco-12,2026-04-22,2026-04-22,class,theorema rice,unidade-03-problemas-indecidiveis,unidade-03-problemas-indecidiveis,
027d4024-a77c-49e0-aba8-4fa87bd0c728,bloco-13,2026-04-24,2026-04-24,class,problema correspondencia post,unidade-03-problemas-indecidiveis,unidade-03-problemas-indecidiveis,
d5ccf1f1-8651-4a96-8b9a-1e102b324d2a,bloco-14,2026-04-29,2026-04-29,class,teoremas godel,unidade-03-problemas-indecidiveis,unidade-03-problemas-indecidiveis,
af54b067-1314-4eb9-8dc1-da73b0f3be1f,bloco-15,2026-05-01,2026-05-01,holiday,feriado,,,
62a75727-18b8-4351-bad1-e54030fb15ce,bloco-16,2026-05-06,2026-05-06,review,Revisao para P1,unidade-03-problemas-indecidiveis,,revisao vespera P1; P1 cobre u01+u02 (regra 2b do padrao)
184a4076-bf9a-4f4d-b2d1-c34249e5ac60,bloco-17,2026-05-08,2026-05-08,assessment,Prova P1,,,"FORA DA RÉGUA: u01, u02, u03 (kind=assessment)"
