subtopico,datas,guarda_chuva,letivo,fonte_data
"apresentação da disciplina, revisão de conceitos",06/03,Introdução,yes,Roteiro (Moodle)
Arquitetura Baseada em Serviços Monolítica. Estudo de Caso,13/03,Arquitetura,yes,Roteiro (Moodle)
Arquitetura Baseada em Serviços e Microserviços. Estudo de Caso,20/03,Arquitetura,yes,Roteiro (Moodle)
microsserviços no Spring,27/03,Microserviços/Spring,yes,Roteiro (Moodle)
feriado,03/04 (feriado),,no,Roteiro (Moodle)
microsserviços no Spring - discovery,10/04,Microserviços/Spring,yes,Roteiro (Moodle)
microsserviços com Spring - api gateway,17/04,Microserviços/Spring,yes,Roteiro (Moodle)
exercícios de revisão para P1,24/04,Avaliação,yes,Roteiro (Moodle)
feriado,01/05 (feriado),,no,Roteiro (Moodle)
prova P1,08/05,Avaliação,yes,Roteiro (Moodle)
"microsserviços com Spring, circuit-breaker",15/05,Microserviços/Spring,yes,Roteiro (Moodle)
implantação de microsserviços em conteiners,22/05,Deploy/Conteiners,yes,Roteiro (Moodle)
comunicação assíncrona,05/06,Mensageria,yes,Roteiro (Moodle)
autenticação e autorização,12/06,Segurança,yes,Roteiro (Moodle)
DevOps,26/06,,yes,Roteiro (Moodle)
"implantação de microsserviços em conteiners / Prova P2, Entrega trabalho","29/06, 03/07",Deploy/Conteiners,yes,Roteiro (Moodle)
Prova PS,10/07,Avaliação,yes,Roteiro (Moodle)
