subtopico,datas,guarda_chuva,letivo,fonte_data
apresentação da disciplina / introdução a métodos formais,"02/03, 04/03",Introdução,yes,Roteiro (Moodle)
revisão de fundamentos de lógica / conjuntos indutivos e equações recursivas,"09/03, 11/03",Indução e Recursão,yes,Roteiro (Moodle)
"definições indutivas e recursivas, exercícios / definições indutivas e recursivas sobre listas","16/03, 18/03",Indução e Recursão,yes,Roteiro (Moodle)
definições indutivas e recursivas sobre árvores / exercícios,"23/03, 25/03",Indução e Recursão,yes,Roteiro (Moodle)
Especificações recursivas e provas por indução,"30/03, 01/04",Indução e Recursão,yes,Roteiro (Moodle)
Especificações recursivas e provas por indução em Isabelle,"06/04, 08/04",Isabelle,yes,Roteiro (Moodle)
"Provas em Isabelle, exercícios / Exercícios de revisão para P1","13/04, 15/04",Isabelle,yes,Roteiro (Moodle)
Prova P1,"20/04 (feriado), 22/04",Avaliação,yes,Roteiro (Moodle)
lógica de Hoare,"27/04, 29/04",Lógica de Hoare,yes,Roteiro (Moodle)
"lógica de Hoare, exercícios / correção parcial/total, terminação","04/05, 06/05",Lógica de Hoare,yes,Roteiro (Moodle)
Introdução ao Dafny,"11/05, 13/05",Dafny,yes,Roteiro (Moodle)
Arrays em Dafny / Coleções auxiliares em Dafny (sequências),"18/05, 20/05",Dafny,yes,Roteiro (Moodle)
Coleções auxiliares em Dafny (conjuntos),"25/05, 27/05 (ES Day)",Dafny,yes,Roteiro (Moodle)
"Classes e objetos em Dafny, ghosts e autocontrato / Exercícios","01/06, 03/06, 08/06, 10/06",Dafny,yes,Roteiro (Moodle)
"Verificação de modelos, lógica temporal","15/06, 17/06",Model Checking,yes,Roteiro (Moodle)
Suspensão Copa do Mundo,24/06 (suspensão),,no,Roteiro (Moodle)
"verificação de modelos, ferramenta / exercícios de revisão","29/06, 01/07",Model Checking,yes,Roteiro (Moodle)
"prova P2, entrega do T2 / prova PS","06/07, 08/07",Avaliação,yes,Roteiro (Moodle)
devolução das provas / prova G2,"13/07, 15/07",Avaliação,yes,Roteiro (Moodle)
