id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid,nota,id_export
intro,origens-da-computacao-grafica.pdf,bloco-01,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-04,yes,no,26afa1ef-6742-4b2f-b9f4-b596e8ad6de9, | re-chaveado S6f: pagina do site impressa no export -> bundle html,origens-da-computacao-grafica
origensdacomputacaografica,OrigensDaComputacaoGrafica.pdf,bloco-01,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-04,yes,no,26afa1ef-6742-4b2f-b9f4-b596e8ad6de9,,origensdacomputacaografica
exercicios,exercicios.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,exercicios
opengl-cpp,OpenGL-CPP.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,opengl-cpp
opengl-py,OpenGL-PY.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,opengl-py
openglbasico,OpenGLBasico.pdf,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,openglbasico
texturas-v3,Texturas_v3.zip,,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,,no,no,,secao sem bloco casado,texturas-v3
exemplodemanipulacaodeimagens,ExemploDeManipulacaoDeImagens.cpp,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,exemplodemanipulacaodeimagens
exercicio-com-animacao,exercicio-com-animacao.pdf,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,exercicio-com-animacao
exercicio-com-poligonos,exercicio-com-poligonos.pdf,bloco-03,,,,"estrutura:secao-moodle->topico-sarc (proposto-claude 02/09, REVISAR)",clean,08-11,yes,no,419072fa-d344-4461-89c5-da8a978750f2,,exercicio-com-poligonos
