id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid
revisao-p1,revisao_p1.pdf,bloco-04,bloco-01,bloco-01,,subt-single:Roteiro (Moodle),clean,24/04,yes,yes,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
roteiro1,roteiro1.zip,bloco-02,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,27/03,yes,yes,b0e2cc0d-7442-4888-87f2-2a4694598b83
roteiro2,roteiro2.zip,bloco-04,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,10/04,yes,no,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
roteiro3,roteiro3.zip,bloco-04,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,17/04,yes,no,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
roteiro5,roteiro5.zip,bloco-08,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,22/05,yes,yes,a803a9f7-5aa5-4629-8b93-4531b56119bc
roteiro6,roteiro6.zip,,bloco-04,bloco-04,,subt-STRADDLE:Roteiro (Moodle),clean,,no,no,
roteiro7,roteiro7.zip,bloco-09,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,05/06,yes,yes,f5d645cb-1de3-4538-a03c-a3fce86b4c41
roteiro7-history-service,roteiro7_history-service.zip,bloco-09,bloco-01,bloco-01,,subt-single:Roteiro (Moodle),clean,05/06,yes,yes,f5d645cb-1de3-4538-a03c-a3fce86b4c41
azure,Azure.pdf,bloco-09,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,05/06,yes,yes,f5d645cb-1de3-4538-a03c-a3fce86b4c41
microsservicos,microsservicos.pdf,bloco-01,bloco-02,bloco-02,,subt-single:Roteiro (Moodle),clean,20/03,yes,yes,c47823dc-111f-4854-b46e-08acb7063909
microsservicos2,microsservicos2.pdf,bloco-04,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,10/04,yes,no,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
microsservicos3,microsservicos3.pdf,bloco-04,bloco-02,bloco-02,,subt-single:Roteiro (Moodle),clean,17/04,yes,yes,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
microsservicos4,microsservicos4.pdf,bloco-07,bloco-07,bloco-07,,subt-single:Roteiro (Moodle),clean,15/05,yes,no,a0d38bad-e123-4b82-b8d0-03f6724b9617
microsservicos5,microsservicos5.pdf,bloco-08,bloco-08,bloco-08,,subt-single:Roteiro (Moodle),clean,22/05,yes,no,a803a9f7-5aa5-4629-8b93-4531b56119bc
microsservicos6,microsservicos6.pdf,bloco-10,bloco-09,bloco-09,,subt-single:Roteiro (Moodle),clean,12/06,yes,yes,17b8da72-b970-4db3-b49e-7cd196945b39
microsservicos7,microsservicos7.pdf,bloco-09,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,05/06,yes,yes,f5d645cb-1de3-4538-a03c-a3fce86b4c41
plano,plano.pdf,bloco-01,,bloco-01,,subt-single:Roteiro (Moodle),clean,06/03,yes,no,c47823dc-111f-4854-b46e-08acb7063909
revisaoarquiteturapadroes,RevisaoArquiteturaPadroes.pdf,bloco-01,bloco-01,bloco-01,,subt-single:Roteiro (Moodle),clean,13/03,yes,no,c47823dc-111f-4854-b46e-08acb7063909
roteiro1-introducao,Roteiro1_introducao.pdf,bloco-02,bloco-02,bloco-02,,subt-single:Roteiro (Moodle),clean,27/03,yes,no,b0e2cc0d-7442-4888-87f2-2a4694598b83
roteiro2-nameserver,Roteiro2_nameserver.pdf,bloco-04,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,10/04,yes,no,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
roteiro3-gateway,Roteiro3_gateway.pdf,bloco-04,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,17/04,yes,no,8a2e86f0-fb4a-4487-86ec-07e74c73d88a
roteiro4-circuitbreaker,Roteiro4_circuitbreaker.pdf,bloco-07,bloco-07,bloco-07,,subt-single:Roteiro (Moodle),clean,15/05,yes,no,a0d38bad-e123-4b82-b8d0-03f6724b9617
roteiro5-conteiners,Roteiro5_conteiners.pdf,bloco-08,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,22/05,yes,yes,a803a9f7-5aa5-4629-8b93-4531b56119bc
roteiro6-conteiners-composicao,Roteiro6_conteiners_composicao.pdf,,bloco-02,bloco-02,,subt-STRADDLE:Roteiro (Moodle),clean,,no,no,
roteiro7-filas,Roteiro7_filas.pdf,bloco-09,bloco-07,bloco-07,,subt-single:Roteiro (Moodle),clean,05/06,yes,yes,f5d645cb-1de3-4538-a03c-a3fce86b4c41
roteiro8-autenticacao-autorizacao,Roteiro8_autenticacao_autorizacao.pdf,bloco-10,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,12/06,yes,yes,17b8da72-b970-4db3-b49e-7cd196945b39
servicos,servicos.pdf,bloco-01,bloco-01,bloco-01,,subt-single:Roteiro (Moodle),clean,13/03,yes,no,c47823dc-111f-4854-b46e-08acb7063909
t1-2026-1,t1_2026_1.pdf,,bloco-12,bloco-12,,subt-STRADDLE:Roteiro (Moodle),clean,,no,no,
web,web.pdf,bloco-01,bloco-01,bloco-01,,subt-single:Roteiro (Moodle),clean,13/03,yes,no,c47823dc-111f-4854-b46e-08acb7063909
roteiro4,roteiro4.zip,bloco-07,bloco-04,bloco-04,,subt-single:Roteiro (Moodle),clean,15/05,yes,yes,a0d38bad-e123-4b82-b8d0-03f6724b9617
devops,devops.pdf,bloco-11,bloco-11,bloco-11,,subt-single:Roteiro (Moodle),clean,26/06,yes,no,5ab3225a-26e9-40dd-b8f7-9c480bfa6c4f
,Kubernets.pdf,,,,,subt-single:Roteiro (Moodle),clean,26/06,no,no,
revisao-p1-respostas,revisao_p1_respostas.pdf,,bloco-01,bloco-01,,subt-STRADDLE:Roteiro (Moodle),clean,,no,no,
revisao-p2,revisao_p2.pdf,,bloco-01,bloco-01,,subt-STRADDLE:Roteiro (Moodle),clean,,no,no,
revisao-p2-respostas,revisao_p2_respostas.pdf,,bloco-01,bloco-01,,?,sem-subtopico,,no,no,
