id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid
,aula01_Introducao_IA.pdf,,,,,obs:Roteiro+SARC,clean,02/03,no,no,
ia-responsável-7c4626,IA Responsável,bloco-01,,bloco-01,,obs:Roteiro+SARC,clean,02/03,yes,no,43b6f936-7dc9-49fa-8f19-a88b66dc9b98
o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,O que é Inteligência Artificial (IA)? | Oracle Brasil,bloco-01,,bloco-01,,obs:Roteiro+SARC,clean,02/03,yes,no,43b6f936-7dc9-49fa-8f19-a88b66dc9b98
visao-geral-introducao-e-historico,Visão Geral - Introdução e Histórico.pdf,bloco-02,bloco-01,bloco-01,,obs:Roteiro+SARC,clean,04/03,yes,yes,55691241-63a8-4053-aea8-8a835c90f4f7
analise-exploratoria-dos-dados-exemplo-2,Analise Exploratória dos Dados - Exemplo 2.ipynb,bloco-04,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,16/03,yes,no,af22fe17-ee73-407f-9af5-d730739d71e0
,CaracteristicasDosDados.pdf,,,,,obs:Roteiro+SARC,clean,16/03,no,no,
caracteristicas-dos-dados,Características dos Dados.pdf,bloco-04,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,11/03,yes,no,af22fe17-ee73-407f-9af5-d730739d71e0
introducao-a-ml,Introdução a ML.pdf,bloco-03,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,09/03,yes,yes,fbf15f4c-54b1-489d-bb02-f9bd33dc1bd3
,IntroducaoML - atualização2025.pdf,,,,,obs:Roteiro+SARC,clean,09/03,no,no,
algoritmo-de-classificacao-k-nn,Algoritmo de Classificação k-NN.pdf,bloco-05,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,18/03,yes,yes,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
,AprendizadoSupervisionado-ArvoresDeDecisao-Duncan.pdf,,,,,subt-single:Roteiro+SARC (13/04: SARC),clean,13/04,no,no,
,AprendizadoSupervisionado-Classificacao - kNN.pdf,,,,,obs:Roteiro+SARC,clean,18/03,no,no,
artigo-usando-k-nn-em-texto,Artigo usando k-NN em texto.pdf,bloco-05,,bloco-05,,obs:Roteiro+SARC,clean,18/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
arvores-de-decisao,Árvores de Decisão.pdf,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC (13/04: SARC),clean,13/04,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
exemplo-de-programa-com-k-nn-em-java,Exemplo de programa com k-NN (em java).zip,bloco-05,bloco-04,bloco-04,,obs:Roteiro+SARC,clean,18/03,yes,yes,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
introducao-a-redes-neurais,Introducao a redes neurais.pdf,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
,IntroducaoRedesNeurais_2023_02.pdf,,,,,subt-single:Roteiro+SARC,clean,23/03,no,no,
mlp,MLP.pdf,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
,mlp_novaVersao.pdf,,,,,subt-single:Roteiro+SARC,clean,30/03,no,no,
,Perceptron-equaçãodeReta.pdf,,,,,subt-single:Roteiro+SARC,clean,30/03,no,no,
rede-perceptron,Rede Perceptron.pdf,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,23/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
rede-perceptron-e-equacao-de-reta,Rede Perceptron e Equação de Reta.pdf,bloco-05,bloco-05,bloco-05,,subt-single:Roteiro+SARC,clean,30/03,yes,no,2fdbf4f5-fe92-46c7-b3d6-b4a09d87615f
,RedesPerceptron2023_02.pdf,,,,,subt-single:Roteiro+SARC,clean,23/03,no,no,
