id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid
conjuntosindutivos,ConjuntosIndutivos.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
correcaoterminacao,CorrecaoTerminacao.pdf,bloco-11,bloco-11,bloco-11,,block-direct,clean,,yes,yes,c9f5f7cf-3477-4531-be7a-f7b68727009c
exerciciosconjuntosindutivos,ExerciciosConjuntosIndutivos.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exercicioscorrecaoinducaomatematica,ExerciciosCorrecaoInducaoMatematica.pdf,bloco-05,bloco-05,bloco-05,,block-direct,clean,,yes,yes,7a5e29db-f228-4e96-bd4b-272d5b74e2ae
exercicioscorrecaoterminacao,ExerciciosCorrecaoTerminacao.pdf,bloco-11,bloco-11,bloco-11,,block-direct,clean,,yes,yes,c9f5f7cf-3477-4531-be7a-f7b68727009c
exerciciosdafny1,ExerciciosDafny1.pdf,bloco-12,bloco-15,bloco-15,,block-direct,clean,,yes,yes,e3bc8a61-e729-4f25-9bc5-12b8a47151e3
exerciciosdafny2,ExerciciosDafny2.pdf,bloco-13,bloco-11,bloco-11,,block-direct,clean,,yes,yes,de7d1b70-fb58-4a18-ad49-d1a64c6c7684
exerciciosdafny3,ExerciciosDafny3.pdf,bloco-13,bloco-13,bloco-13,,block-direct,clean,,yes,no,de7d1b70-fb58-4a18-ad49-d1a64c6c7684
exerciciosdafny4,ExerciciosDafny4.pdf,bloco-13,bloco-13,bloco-13,,block-direct,clean,,yes,no,de7d1b70-fb58-4a18-ad49-d1a64c6c7684
exerciciosdafny5,ExerciciosDafny5.pdf,bloco-15,bloco-15,bloco-15,,block-direct,clean,,yes,no,95d7c9fb-d9e3-43cd-b1fb-5fcebddb49f0
exerciciosespecificacao,ExerciciosEspecificacao.pdf,bloco-03,bloco-03,bloco-03,,block-direct,clean,,yes,no,2edd762f-2dc8-4437-90c7-c207b796434a
exerciciosespecificacao-respostas,ExerciciosEspecificacao_respostas.pdf,bloco-03,bloco-03,bloco-03,,block-direct,clean,,yes,no,2edd762f-2dc8-4437-90c7-c207b796434a
exerciciosformalizacaoalgoritmosinvariantes,ExerciciosFormalizacaoAlgoritmosInvariantes.pdf,bloco-11,bloco-11,bloco-11,,block-direct,clean,,yes,yes,c9f5f7cf-3477-4531-be7a-f7b68727009c
exerciciosformalizacaoalgoritmosrecursao,ExerciciosFormalizacaoAlgoritmosRecursao.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exerciciosformalizacaoalgoritmosrecursao-respostas,ExerciciosFormalizacaoAlgoritmosRecursao_respostas.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exerciciosformalizacaoalgoritmosrecursao2,ExerciciosFormalizacaoAlgoritmosRecursao2.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exerciciosformalizacaoalgoritmosrecursao3,ExerciciosFormalizacaoAlgoritmosRecursao3.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exerciciosformalizacaoalgoritmosrecursao3-respostas,ExerciciosFormalizacaoAlgoritmosRecursao3_respostas.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
exerciciosisabelle,ExerciciosIsabelle.pdf,bloco-06,bloco-06,bloco-06,,block-direct,clean,,yes,no,5599d015-10e0-4f6e-ad17-c526b903dc09
exerciciosisabelle2,ExerciciosIsabelle2.pdf,bloco-06,bloco-06,bloco-06,,block-direct,clean,,yes,no,5599d015-10e0-4f6e-ad17-c526b903dc09
exercicioslogicatemporal,ExerciciosLogicaTemporal.pdf,bloco-16,bloco-16,bloco-16,,block-direct,clean,,yes,no,a6ac04f2-7611-4bef-b74a-54390cef4084
exerciciosnusmv,ExerciciosNusmv.pdf,bloco-16,bloco-16,bloco-16,,block-direct,clean,,yes,no,a6ac04f2-7611-4bef-b74a-54390cef4084
formalizacaoalgoritmos-invarianteslaco,FormalizacaoAlgoritmos_InvariantesLaco.pdf,bloco-11,bloco-11,bloco-11,,block-direct,clean,,yes,yes,c9f5f7cf-3477-4531-be7a-f7b68727009c
formalizacaoalgoritmos-recursao,FormalizacaoAlgoritmos_Recursao.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
formalizacaoalgoritmos-recursao2,FormalizacaoAlgoritmos_Recursao2.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
formalizacaoalgoritmos-recursao3,FormalizacaoAlgoritmos_Recursao3.pdf,bloco-04,bloco-04,bloco-04,,block-direct,clean,,yes,no,7ccdaf5e-76b8-48e5-82b5-05f80b3f054b
introducao,introducao.pdf,bloco-02,bloco-02,bloco-02,,block-direct,clean,,yes,no,1e73625a-de3e-4c8a-87c4-d301a3138c0b
logicadehoare,LogicaDeHoare.pdf,bloco-10,bloco-10,bloco-10,,block-direct,clean,,yes,no,171a1a09-a72d-490d-b4d8-5843cfb301b4
