id,material,true_block_id,computed_block_id,temporal_block_id,pair_key,provenance,scope,data_real,scorable,discriminante,true_block_uuid
3d-matching,3D Matching.pdf,bloco-24,bloco-24,bloco-24,3d-matching,block-direct,clean,,yes,no,3a7783ef-c47a-4d99-9038-dacc0c4593b9
3dm-caetano-gabriel-e-gustavo,"3DM - Caetano, Gabriel e Gustavo.pdf",bloco-24,bloco-22,bloco-22,3d-matching,block-direct,clean,,yes,yes,3a7783ef-c47a-4d99-9038-dacc0c4593b9
aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade,"Aula 01 - Apresentação da Disciplina, Revisão de Teoria de Conjuntos e Enumerabilidade.pdf",bloco-01,bloco-02,bloco-02,,block-direct,clean,,yes,yes,667491f1-cffe-45f5-8b3f-29b0cec9d25a
aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor,Aula 02 - Conjuntos Enumeráveis e Não-Enumeráveis; Argumento da Diagonalização de Cantor.pdf,bloco-02,bloco-02,bloco-02,,block-direct,clean,,yes,no,18a1092a-9a22-4d54-b02b-59414b171496
aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes,Aula 03 - Funções Recursivas Primitivas e Composição de Funções.pdf,bloco-03,bloco-03,bloco-03,,block-direct,clean,,yes,no,e4678122-f30f-4385-bbed-3a682d728920
aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,Aula 04  Funções Computáveis Funções Recursivas Parciais .pdf,bloco-03,bloco-03,bloco-03,aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,block-direct,clean,,yes,no,e4678122-f30f-4385-bbed-3a682d728920
aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,Aula 04 - Funções Computáveis Funções Recursivas Parciais.pdf,bloco-03,bloco-03,bloco-03,aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,block-direct,clean,,yes,no,e4678122-f30f-4385-bbed-3a682d728920
aula-05-minimizacao-de-funcoes-recursivas-parciais,Aula 05 - Minimização de Funções Recursivas Parciais.pdf,bloco-03,bloco-03,bloco-03,,block-direct,clean,,yes,no,e4678122-f30f-4385-bbed-3a682d728920
aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos .pdf",bloco-05,bloco-09,bloco-09,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,block-direct,clean,,yes,yes,ee594a67-ac2f-480c-ae87-9f4bdcdb5f52
aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos.pdf",bloco-05,bloco-09,bloco-09,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,block-direct,clean,,yes,yes,ee594a67-ac2f-480c-ae87-9f4bdcdb5f52
aula-07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,Aula 07 - Máquinas de Turing e Linguagens Recursivamente Enumeráveis.pdf,bloco-06,bloco-09,bloco-09,aula-07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,block-direct,clean,,yes,yes,cbf887a2-7073-441b-b695-8b3d8d1d1b86
aula-08-maquinas-de-turing-como-processadoras-de-funcoes,Aula 08 - Máquinas de Turing como Processadoras de Funções.pdf,bloco-06,bloco-09,bloco-09,aula-08-maquinas-de-turing-como-processadoras-de-funcoes,block-direct,clean,,yes,yes,cbf887a2-7073-441b-b695-8b3d8d1d1b86
,Aula 08 Maquinas de Turing como Processadores de Funções.pdf,,,,,block-direct,clean,,no,no,
