entry_id,title,category,card,posting_date,text_chars,evidencia,pred_unit,unit_do_bloco_temporal,gold_units,gold_topics,scorable,notas,status,gold_fonte
basico3d-cpp,Basico3D-CPP,codigo-professor,14 - Exercícios sobre Modelagem Geométrica,,0,Basico3D-CPP,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.27 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
basico3d-py-zip,Basico3D-PY,codigo-professor,14 - Exercícios sobre Modelagem Geométrica,,0,Basico3D-PY,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,conflito: texto queria unidade-06-processo-de-visualizacao-3d · unit_conf=0.61 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
csg,CSG,outros,12 - Modelagem Geométrica,,8644,Fundamentos de Computação Gráfica **Modelagem Geométrica · Imagens Curadas,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.59 revisar=mudou,rotulado,proposto-claude 2026-09-11: secao-moodle
exerciciodemodelagem,ExercicioDeModelagem,listas,14 - Exercícios sobre Modelagem Geométrica,,5397,EXERCÍCIO DE MODELAGEM 3D · INTRODUÇÃO · CONFIGURAÇÃO DO PROGRAMA · Em C++: · Em Python: · ATIVIDADES · 1) Observe a função **init. · 2) Observe a função **CriaObjetoPorExtrusao** .,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.27 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
modelagem3d,Modelagem3D,outros,12 - Modelagem Geométrica,,11071,Modelagem3D · Conteúdo Extraído,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.61 revisar=mudou,rotulado,proposto-claude 2026-09-11: secao-moodle
paginas-com-videos-sobre-modelagem-geometrica-f2614a,Páginas com Vídeos sobre Modelagem Geométrica,references,12 - Modelagem Geométrica,,1391,"Páginas com Vídeos sobre Modelagem Geométrica · Conteúdo Extraído · Acesso a Moodle PUCRS - Pontifícia Universidade Católica do Rio Grande do Sul · Prezados Alunos de Graduação, Mestrado, Doutorado e ",unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,unidade-07-representacao-e-modelagem-de-objetos,,yes,unit_conf=0.99 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exemplodemanipulacaodeimagens,ExemploDeManipulacaoDeImagens,codigo-professor,3 - Fundamentos Matemáticos para Computação Gráfica,,12149,ExemploDeManipulacaoDeImagens,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-03-processamento-de-imagens-e-visao-computacional,,yes,secao 3 e label 'Classe Vetor' diziam u02; conteudo do .cpp = manipulacao de imagens/filtros = u03 (astra 11/09; ruling do user 11/09) · subunit_gt scorable=no: CONFLITO: label do Moodle 'Classe Vetor' (u02) x conteudo do .cpp = processamento de imagens (u03/filtros); computada u02 — RULING pendente · unit_conf=0.42 revisar=mudou,rotulado,proposto-claude 2026-09-11: ruling-user 2026-09-11: conteudo vence o label do Moodle
exercicio-com-animacao,exercicio-com-animacao,listas,3 - Fundamentos Matemáticos para Computação Gráfica,,539,exercicio-com-animacao · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.95 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicio-com-poligonos,exercicio-com-poligonos,listas,3 - Fundamentos Matemáticos para Computação Gráfica,,376,exercicio-com-poligonos · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,unit_conf=0.96 revisar=ok,rotulado,proposto-claude 2026-09-11: secao-moodle
exercicio-de-animacao-foguete,exercicio-de-animacao-foguete,listas,3 - Fundamentos Matemáticos para Computação Gráfica,,555,exercicio-de-animacao-foguete · Conteúdo Extraído,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,unidade-02-fundamentos-matematicos,,yes,conflito: texto queria unidade-04-processo-de-visualizacao-2d · unit_conf=0.77 revisar=duvida,rotulado,proposto-claude 2026-09-11: secao-moodle
