entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade,"Aula 01 - Apresentação da Disciplina, Revisão de Teoria de Conjuntos e Enumerabilidade",material-de-aula,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,Semana 1 - Enumerabilidade e Argumento da Diagonalização de Cantor,"Sumário · Apresentação da Disciplina e Revisão de Teoria de Conjuntos · Sumário · Prof. Anderson R. P. Domingues · Regras de Convivência · Teoria da Computabilidade e Complexidade · Questões Fundamentais · Ementa · Bibliografia · Bibliografia da Disciplina, livros principais",,conjuntos-enumeraveis,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; revisao de teoria de conjuntos + enumerabilidade; metade da aula e abertura de disciplina (regras, ementa, bibliografia)"
aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor,Aula 02 - Conjuntos Enumeráveis e Não-Enumeráveis; Argumento da Diagonalização de Cantor,material-de-aula,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,Semana 1 - Enumerabilidade e Argumento da Diagonalização de Cantor,Sumário · Conjuntos Enumeráveis e Não-Enumeráveis; Argumento da Diagonalização de Cantor · Sumário · Motivação · Questão Fundamental · Importância para Computação · Comparando Conjuntos Infinitos · Ideia Central · Observação Surpreendente · Definições Formais,,argumento-diagonal-de-cantor-e-conjuntos-incontaveis,conjuntos-enumeraveis,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; cobre os dois topicos; o que DISTINGUE esta aula da aula-01 e a diagonalizacao de Cantor -> primario T2
aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes,Aula 03 - Funções Recursivas Primitivas e Composição de Funções,material-de-aula,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,"Semana 2 - Funções Recursivas Primitivas, Parciais e Totais",Sumário · Funções Recursivas Primitivas; Composição de Funções · Sumário · Motivação · Questão Central · A Tese de Church-Turing · Tese de Church-Turing · Observação · Funções Recursivas: Visão Geral · Abordagem,,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais,,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; funcoes recursivas primitivas + composicao
aula-04-funcoes-computaveis-funcoes-recursivas-parciais-pdf,Aula 04 - Funções Computáveis Funções Recursivas Parciais,material-de-aula,2026-03-07,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,"Semana 2 - Funções Recursivas Primitivas, Parciais e Totais",Sumário · Funções Computáveis: Funções Recursivas Parciais · Sumário · Revisão · Funções Recursivas Primitivas · Pergunta · Resposta: Não! · A Função de Ackermann · Definição · Propriedades,,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais,,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; Ackermann como prova de que recursiva primitiva nao esgota computavel -> recursivas parciais
aula-05-minimizacao-de-funcoes-recursivas-parciais,Aula 05 - Minimização de Funções Recursivas Parciais,material-de-aula,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,Semana 3 - Operações de Minimização e Trabalho T1,"Sumário · Minimização de Funções Recursivas Parciais · Sumário · Recapitulação: Por que Minimização? · O Problema · A Solução · Definição Formal do Operador $\mu$ · Definição · Semântica Operacional · Algoritmo para $\mu y[g(\vec{x}, y) = 0]$",,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais,,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; operador mu / minimizacao
aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos",material-de-aula,,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,"Sumário · Revisão: Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos · Sumário · Motivação · Teoria de Autômatos e Linguagens Formais · Contexto · Alfabeto · Definição · Exemplos · Cadeia (String)",,,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25: aula de revisao ONLINE relembrando conceitos da cadeira de AUTOMATOS (pre-requisito), nao conteudo da u01. NENHUM topico da u01 se aplica -> gold vazio e scorable=yes: predizer qualquer subunidade aqui e ERRO"
plano-de-ensino,Plano de Ensino,cronograma,2026-02-26,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,sem-secao,Sumário · PLANO DE ENSINO · PROFESSOR (ES) · EMENTA: · OBJETIVOS DE APRENDIZAGEM/COMPETÊNCIAS: · CONTEÚDOS: · UNIDADE 01: Conjuntos Enumeráveis e Funções Recursivas · UNIDADE 02: Turing-Computabilidade · UNIDADE 03: Problemas Indecidíveis · **UNIDADE 04: Hierarquia de Classes de Complexidade de Problemas Computacionais**,,,,conteudo,no,provenance=proposto-claude+aprovado-user-2026-08-25; cronograma transversal: lista as 4 unidades inteiras; nao pertence a subunidade nenhuma -> fora da regua
t1-enunciado,T1 - Enunciado,trabalhos,2026-03-18,unidade-01-conjuntos-enumeraveis-e-funcoes-recursivas,Semana 3 - Operações de Minimização e Trabalho T1,Parte 1 - Teoria de Conjuntos · Parte 2 - Enumerabilidade · Parte 3 - Funções Recursivas Primitivas · Parte 4 - Funções Parciais e Minimização · Imagens Curadas,,funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais,conjuntos-enumeraveis;argumento-diagonal-de-cantor-e-conjuntos-incontaveis,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25: primario = funcoes-recursivas-primitivas-e-funcoes-recursivas-parciais. Partes 1-2 = conjuntos/enumerabilidade (extras), partes 3-4 = recursivas primitivas + minimizacao (primario)"
aula-07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,Aula 07 - Máquinas de Turing e Linguagens Recursivamente Enumeráveis,material-de-aula,2026-03-27,unidade-02-turing-computabilidade,Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,Sumário · Máquinas de Turing e Linguagens Recursivamente Enumeráveis · Sumário · Contexto Histórico · O Problema de Hilbert (1928) · A Resposta de Turing (1936) · Importância · Ideia Intuitiva · Componentes de uma Máquina de Turing · Funcionamento Básico,,maquinas-de-turing,linguagens-reconheciveis-e-decidiveis,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; aula de entrada da MT: Hilbert 1928, resposta de Turing 1936, componentes, comparacao com automatos finitos"
aula-08-maquinas-de-turing-como-processadoras-de-funcoes,Aula 08 - Máquinas de Turing como Processadoras de Funções,material-de-aula,2026-04-01,unidade-02-turing-computabilidade,Semana 5 - Codificação de Máquinas de Turing e Equivalência Entre Modelos,Sumário · Máquinas de Turing como Processadoras de Funções · Sumário · Duas Visões de Computação · MT como Reconhecedor de Linguagens · MT como Computador de Funções · Equivalência · Funções Turing-Computáveis · Definição · Convenção para Funções Numéricas,,conjectura-de-church-turing,maquinas-de-turing,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; CORRIGIDO apos challenge do user: propus 'maquinas-de-turing' pelo TITULO; o CONTEUDO e a Tese de Church-Turing (heading l.381 'A Tese de Church-Turing'; l.366 'Turing-computavel <=> mu-recursiva'; Calculo Lambda Church 1936; diagrama de equivalencia MT/mu-recursivas/lambda/Gramaticas Tipo 0) = item 2.4 do plano
